kanji;strokes;grade;freq;jlpt_old;jlpt_new;meanings;readings_on;readings_kun;wk_level;wk_meanings;wk_readings_on;wk_readings_kun;wk_radicals;fr_meanings
翌;11;6.0;1070.0;2.0;2.0;[The Following, Next];[よく];[];30;[The Following, Following, Next];[よく];[];[Feathers, Stand];suivant (dans le temps)
陽;12;3.0;1071.0;2.0;3.0;[Sunshine, Yang Principle, Positive, Male, Heaven, Daytime];[よう];[ひ];12;[Sunshine, Sunlight];[よう];[ひ];[Building, Easy];énergie positive, soleil
閥;14;8.0;1072.0;1.0;1.0;[Clique, Lineage, Pedigree, Faction, Clan];[ばつ];[];19;[Clique, Clan];[ばつ];[];[Gate, Leader, Drunkard];clan, faction
甲;5;8.0;1073.0;1.0;1.0;[Armor, High (voice), A Grade, First Class, Former, Instep, Carapace];[こう, かん];[きのえ];39;[Turtle Shell, A];[こう, かん];[か];[Turtle Shell];n°1 dans une série, carapace élevé (timbre)
快;7;5.0;1074.0;2.0;2.0;[Cheerful, Pleasant, Agreeable, Comfortable];[かい];[こころよ.い];30;[Pleasant];[かい];[こころよ];[Soul, Person, Hook];agréable, gai, comfortable, délicieux
縄;15;8.0;1075.0;1.0;1.0;[Straw Rope, Cord];[じょう];[なわ, ただ.す];36;[Rope];[じょう];[なわ];[Thread, Turtle];corde
片;4;6.0;1076.0;2.0;2.0;[One-sided, Leaf, Sheet, Right-side Kata Radical (no. 91)];[へん];[かた-, かた];39;[One Sided];[へん];[かた];[One Sided];partie, fragment un (d'une paire)
郷;11;6.0;1077.0;1.0;1.0;[Home Town, Village, Native Place, District];[きょう, ごう];[さと];41;[Hometown];[きょう];[];[Poop, Guy];village natal, pays campagne
敬;12;6.0;1078.0;2.0;2.0;[Awe, Respect, Honor, Revere];[けい, きょう];[うやま.う];33;[Respect];[けい];[うやま];[Poem, Winter];respecter, vénérer
揺;12;8.0;1079.0;1.0;1.0;[Swing, Shake, Sway, Rock, Tremble, Vibrate];[よう];[ゆ.れる, ゆ.る, ゆ.らぐ, ゆ.るぐ, ゆ.する, ゆ.さぶる, ゆ.すぶる, うご.く];42;[Shake];[よう];[ゆ];[Fingers, Satellite];être secoué, être balloté secouer, agiter
免;8;8.0;1080.0;1.0;1.0;[Excuse, Dismissal];[めん];[まぬか.れる, まぬが.れる];39;[Excuse];[めん];[まぬか];[Excuse];échapper, se soustraire, être exempté
既;10;8.0;1081.0;1.0;1.0;[Previously, Already, Long Ago];[き];[すで.に];31;[Previously];[き];[すで];[Root, Fang];auparavant, déjà
薦;16;8.0;1082.0;1.0;1.0;[Recommend, Mat, Advise, Encourage, Offer];[せん];[すす.める];34;[Recommend];[せん];[すす];[Flowers, Canopy, Helicopter, Bird];recommander, conseiller, donner
隣;16;8.0;1083.0;1.0;1.0;[Neighboring];[りん];[とな.る, となり];40;[Neighbor, Neighbour];[りん];[となり];[Building, Rice, Dance];voisin, voisinage immédiat
悩;10;8.0;1084.0;2.0;2.0;[Trouble, Worry, In Pain, Distress, Illness];[のう];[なや.む, なや.ます, なや.ましい, なやみ];27;[Worry];[のう];[なや];[Soul, Grass, Treasure Chest];être peiné, être inquiet inquiéter, toumenter, ennuyer
華;10;8.0;1085.0;1.0;1.0;[Splendor, Flower, Petal, Shine, Luster, Ostentatious, Showy, Gay, Gorgeous];[か, け];[はな];31;[Showy, Flower, Gorgeous];[か];[はな];[Flowers, Rice Paddy, Cross];brillance, éclat
泉;9;6.0;1086.0;2.0;2.0;[Spring, Fountain];[せん];[いずみ];12;[Spring, Fountain];[せん];[いずみ];[White, Water];source, fontaine
御;12;8.0;1087.0;2.0;3.0;[Honorable, Manipulate, Govern];[ぎょ, ご];[おん-, お-, み-];39;[Honorable];[ご];[お];[Loiter, Gun, Correct, Stamp];préfixe honorifique
範;15;8.0;1088.0;1.0;1.0;[Pattern, Example, Model];[はん];[];42;[Example];[はん];[];[Bamboo, Car, Snake];moule, modèle, exemple
隠;14;8.0;1089.0;1.0;1.0;[Conceal, Hide, Cover];[いん, おん];[かく.す, かく.し, かく.れる, かか.す, よ.る];25;[Hide];[いん];[かく];[Building, Cleat, Wolverine, Heart];se cacher, disparaître cacher
冬;5;2.0;1090.0;3.0;4.0;[Winter];[とう];[ふゆ];3;[Winter];[とう];[ふゆ];[Winter, Two];hiver
徳;14;5.0;1091.0;1.0;1.0;[Benevolence, Virtue, Goodness, Commanding Respect];[とく];[];31;[Virtue];[とく];[];[Loiter, Cross, Net, Heart];vertu, morale
皮;5;3.0;1092.0;2.0;2.0;[Pelt, Skin, Hide, Leather, Skin Radical (no. 107)];[ひ];[かわ];5;[Skin];[ひ];[かわ];[Slide, Branch];peau, cuir, écorce
哲;10;8.0;1093.0;1.0;1.0;[Philosophy, Clear];[てつ];[さとい, あきらか];42;[Philosophy];[てつ];[];[Fingers, Axe, Mouth];sage, équilibré
漁;14;4.0;1094.0;2.0;2.0;[Fishing, Fishery];[ぎょ, りょう];[あさ.る];37;[Fishing];[ぎょ, りょう];[あさ];[Tsunami, Fish];pêche
杉;7;8.0;1095.0;1.0;1.0;[Cedar, Cryptomeria];[さん];[すぎ];35;[Cedar];[];[すぎ];[Tree, Hair];cyprès du Japon, cryptoméria
里;7;2.0;1096.0;1.0;;[Ri, Village, Parents Home, League],;[り];[さと];5;[Home Village, Home Town];[り];[さと];[Village];ancienne unité de mesure valant environ 3,9 km village natal
釈;11;8.0;1097.0;1.0;1.0;[Explanation];[しゃく, せき];[とく, す.てる, ゆる.す];51;[Explanation];[しゃく, せき];[す, とく, ゆる];[Sickle, Shrimp];explication, interprétation
己;3;6.0;1098.0;1.0;1.0;[Self];[こ, き];[おのれ, つちのと, な];35;[Oneself];[こ, き];[おのれ];[Oneself];soi-même, moi
荒;9;8.0;1099.0;2.0;2.0;[Laid Waste, Rough, Rude, Wild];[こう];[あら.い, あら-, あ.れる, あ.らす, -あ.らし, すさ.む];42;[Wild];[こう];[あ, あら];[Flowers, Death, River];dur, brutal, violent devenir dur, devenir violent dévaster, ravager
貯;12;4.0;1100.0;2.0;2.0;[Savings, Store, Lay In, Keep, Wear Mustache];[ちょ];[た.める, たくわ.える];26;[Savings];[ちょ];[たくわ];[Shellfish, Roof, Street];mise en réserve, stocker
硬;12;8.0;1101.0;2.0;2.0;[Stiff, Hard];[こう];[かた.い];45;[Stiff];[こう];[かた];[Stone, Again];dur, solide, ferme
妥;7;8.0;1102.0;1.0;1.0;[Gentle, Peace, Depravity];[だ];[];14;[Gentle];[だ];[];[Cleat, Woman];tranquilité, satisfaction, calme
威;9;8.0;1103.0;1.0;1.0;[Intimidate, Dignity, Majesty, Menace, Threaten];[い];[おど.す, おど.し, おど.かす];43;[Majesty];[い];[];[Slide, Drunkard, Ground, Woman];autorité, dignité, menace, intimidation
豪;14;8.0;1104.0;1.0;1.0;[Overpowering, Great, Powerful, Excelling, Australia];[ごう];[えら.い];31;[Luxurious];[ごう];[];[Lid, Mouth, Forehead, Pig];force, puissance, luxe, splendeur
熊;14;8.0;1105.0;1.0;1.0;[Bear];[ゆう];[くま];35;[Bear];[];[くま];[Ability, Boil];ours
歯;12;3.0;1106.0;2.0;3.0;[Tooth, Cog];[し];[よわい, は, よわ.い, よわい.する];12;[Tooth, Teeth];[し];[は];[Stop, Box, Rice];dent
滞;13;8.0;1107.0;1.0;1.0;[Stagnate, Be Delayed, Overdue, Arrears];[たい, てい];[とどこお.る];35;[Stagnate];[たい];[とどこお];[Belt, Tsunami];rester, séjourner
微;13;8.0;1108.0;1.0;1.0;[Delicate, Minuteness, Insignificance];[び];[かす.か];28;[Delicate];[び];[かす];[Loiter, Mountain, Pi, Winter];minuscule, microscopique
埋;10;8.0;1110.0;2.0;2.0;[Bury, Be Filled Up, Embedded];[まい];[う.める, う.まる, う.もれる, うず.める, うず.まる, い.ける];39;[Bury];[まい];[う];[Dirt, Village];être enterré, être enfoui enterrer, enfouir
症;10;8.0;1111.0;1.0;1.0;[Symptoms, Illness];[しょう];[];27;[Symptom];[しょう];[];[Sick, Correct];symptômes d'une maladie
暫;15;8.0;1112.0;1.0;1.0;[Temporarily, A While, Moment, Long Time];[ざん];[しばら.く];42;[Temporarily];[ざん];[しばら];[Car, Axe, Sun];instant, moment
忠;8;6.0;1113.0;1.0;1.0;[Loyalty, Fidelity, Faithfulness];[ちゅう];[];33;[Loyalty];[ちゅう];[];[Middle, Heart];loyauté, fidélité
倉;10;4.0;1114.0;1.0;1.0;[Godown, Warehouse, Storehouse, Cellar, Treasury];[そう];[くら];31;[Warehouse];[そう];[くら];[Warehouse];grange, dépôt, magasin
昼;9;2.0;1115.0;3.0;4.0;[Daytime, Noon];[ちゅう];[ひる];15;[Noon];[ちゅう];[ひる];[Shrimp, Sun, Ground];midi, jour
茶;9;2.0;1116.0;3.0;4.0;[Tea];[ちゃ, さ];[];6;[Tea];[ちゃ, さ];[];[Flowers, Hat, Angel];thé
肝;7;8.0;1118.0;1.0;1.0;[Liver, Pluck, Nerve, Chutzpah];[かん];[きも];42;[Liver];[かん];[きも];[Moon, Dry];foie, esprit, courage
柱;9;3.0;1119.0;2.0;2.0;[Pillar, Post, Cylinder, Support];[ちゅう];[はしら];40;[Pillar];[ちゅう];[はしら];[Tree, Master];poteau, pilier, colonne
沿;8;6.0;1121.0;1.0;1.0;[Run Alongside, Follow Along, Run Along, Lie Along];[えん];[そ.う, -ぞ.い];34;[Run Alongside];[えん];[そ];[Tsunami, Fins, Mouth];longer, border, être parallèle à
妙;7;8.0;1122.0;1.0;1.0;[Exquisite, Strange, Queer, Mystery, Miracle, Excellent, Delicate, Charming];[みょう, びょう];[たえ];28;[Strange];[みょう];[たえ];[Woman, Few];merveilleux, étrange, mystérieux
唱;11;4.0;1123.0;1.0;1.0;[Chant, Recite, Call Upon, Yell];[しょう];[とな.える];40;[Chant];[しょう];[とな];[Mouth, Sun];chanter, réciter, soutenir
祭;11;3.0;1124.0;2.0;2.0;[Ritual, Offer Prayers, Celebrate, Deify, Enshrine, Worship];[さい];[まつ.る, まつ.り, まつり];12;[Festival];[さい];[まつり, まつ];[Tent, Jackhammer];vouer un culte, vénérer fête, festival
袋;11;8.0;1125.0;2.0;2.0;[Sack, Bag, Pouch];[たい, だい];[ふくろ];42;[Sack];[たい];[ふくろ];[Substitute, Clothes];sac, sachet
索;10;8.0;1127.0;1.0;1.0;[Cord, Rope, Searching, Inquiring];[さく];[];29;[Search];[さく];[];[Cross, Forehead, Thread];lien, corde rechercher
誠;13;6.0;1128.0;1.0;1.0;[Sincerity, Admonish, Warn, Prohibit, Truth, Fidelity];[せい];[まこと];41;[Sincerity];[せい];[まこと];[Say, Become];sincérité, vérité, réalité, fidélité
忘;7;6.0;1129.0;2.0;3.0;[Forget];[ぼう];[わす.れる];18;[Forget];[ぼう];[わす];[Death, Heart];oublier
襲;22;8.0;1130.0;1.0;1.0;[Attack, Advance On, Succeed To, Pile, Heap];[しゅう];[おそ.う, かさ.ね];43;[Attack];[しゅう];[おそ];[Imperial, Clothes];attaquer, assaillir succéder à
雪;11;2.0;1131.0;2.0;3.0;[Snow];[せつ];[ゆき];7;[Snow];[せつ];[ゆき];[Rain, Wolverine];neige
筆;12;3.0;1132.0;2.0;2.0;[Writing Brush, Writing, Painting Brush, Handwriting];[ひつ];[ふで];26;[Writing Brush];[ひつ];[ふで];[Bamboo, Brush];pinceau
吹;7;8.0;1133.0;2.0;3.0;[Blow, Breathe, Puff, Emit, Smoke];[すい];[ふ.く];40;[Blow];[すい];[ふ];[Mouth, Lack];souffler de l'air
訓;10;4.0;1134.0;2.0;2.0;[Instruction, Japanese Character Reading, Explanation, Read];[くん, きん];[おし.える, よ.む, くん.ずる];18;[Instruction];[くん];[よ];[Say, River];prononciation japonaise des kanji, précepte, enseignement
懇;17;8.0;1135.0;1.0;1.0;[Sociable, Kind, Courteous, Hospitable, Cordial];[こん];[ねんご.ろ];43;[Courteous];[こん];[];[Badger, Root, Heart];amabilité, amitié, cordialité
浴;10;4.0;1136.0;2.0;2.0;[Bathe, Be Favored With, Bask In];[よく];[あ.びる, あ.びせる];16;[Bathe];[よく];[あ];[Tsunami, Valley];baigner dans arroser de, doucher
俳;10;6.0;1137.0;1.0;1.0;[Haiku, Actor];[はい];[];23;[Haiku];[はい];[];[Leader, Criminal];comédie, humour
童;12;3.0;1138.0;2.0;2.0;[Juvenile, Child];[どう];[わらべ];12;[Juvenile];[どう];[];[Stand, Village];enfant
宝;8;6.0;1139.0;2.0;2.0;[Treasure, Wealth, Valuables];[ほう];[たから];4;[Treasure];[ほう];[たから];[Roof, King, Drop];trésor, joyaux
柄;9;8.0;1140.0;1.0;1.0;[Design, Pattern, Build, Nature, Character, Handle, Crank, Grip, Knob, Shaft];[へい];[がら, え, つか];42;[Pattern];[へい];[がら];[Tree, Dynamite];dessin, motif, caractère
驚;22;8.0;1141.0;1.0;1.0;[Wonder, Be Surprised, Frightened, Amazed];[きょう];[おどろ.く, おどろ.かす];31;[Surprised];[きょう];[おどろ];[Poem, Winter, Horse];être surpris, être étonné étonner, surprendre
麻;11;8.0;1142.0;1.0;1.0;[Hemp, Flax, Numb];[ま, まあ];[あさ];48;[Hemp];[ま];[あさ];[Canopy, Tree];chanvre, lin
封;9;8.0;1143.0;2.0;2.0;[Seal, Closing];[ふう, ほう];[];43;[Seal, Seal In, Closing];[ふう, ほう];[];[Dirt, Measurement];sceau fief, territoire
胸;10;6.0;1144.0;2.0;2.0;[Bosom, Breast, Chest, Heart, Feelings];[きょう];[むね, むな-];18;[Chest, Breast];[きょう];[むね];[Moon, Prison, Treasure Chest];poitrine
娘;10;8.0;1145.0;2.0;3.0;[Daughter, Girl];[じょう];[むすめ, こ];29;[Daughter];[];[むすめ];[Woman, Good];fille, jeune fille
砂;9;6.0;1146.0;2.0;2.0;[Sand];[さ, しゃ];[すな];33;[Sand];[さ];[すな];[Stone, Few];sable
塩;13;4.0;1148.0;2.0;2.0;[Salt];[えん];[しお];17;[Salt];[えん];[しお];[Dirt, Gun, Mouth, Plate];sel
誤;14;6.0;1150.0;2.0;3.0;[Mistake, Err, Do Wrong, Mislead];[ご];[あやま.る, -あやま.る];34;[Mistake];[ご];[あやま];[Say, Catapult];se tromper, faire fausse route faute, erreur
剤;10;8.0;1151.0;1.0;1.0;[Dose, Medicine, Drug];[ざい, すい, せい];[かる, けず.る];40;[Dose];[ざい];[];[Simultaneous, Knife];médicament, drogue
瀬;19;8.0;1152.0;1.0;1.0;[Rapids, Current, Torrent, Shallows, Shoal];[らい];[せ];41;[Rapids, Shallows];[らい];[せ];[Tsunami, Bundle, Geoduck];courant rapide, torrent
趣;15;8.0;1153.0;1.0;1.0;[Purport, Gist, Elegance, Interest, Proceed To, Tend, Become];[しゅ];[おもむき, おもむ.く];43;[Gist];[しゅ];[おもむき];[Run, Ear, Stool];tendance, sens, ton, goût
陥;10;8.0;1154.0;1.0;1.0;[Collapse, Fall Into, Cave In, Fall (castle), Slide Into];[かん];[おちい.る, おとしい.れる];52;[Cave In];[かん];[おちい, おとしい];[Building, Prison, Former];tomber, être piegé faire tomber, tendre un piège
斎;11;8.0;1155.0;1.0;1.0;[Purification, Buddhist Food, Room, Worship, Avoid, Alike];[さい];[とき, つつし.む, ものいみ, い.む, いわ.う, いつ.く];42;[Purification];[さい];[いつ];[Simultaneous, Jackhammer];purification, petite salle
貫;11;8.0;1156.0;1.0;1.0;[Pierce, 8 1/3lbs, Penetrate, Brace];[かん];[つらぬ.く, ぬ.く, ぬき];52;[Pierce, Sushi Counter];[かん];[つらぬ, ぬき, ぬ];[Window, Shellfish];traverser, accomplir mener à bien
仙;5;8.0;1157.0;1.0;1.0;[Hermit, Wizard, Cent];[せん, せんと];[];39;[Hermit];[せん];[];[Leader, Mountain];ermite, magicien
慰;15;8.0;1158.0;1.0;1.0;[Consolation, Amusement, Seduce, Cheer, Make Sport Of, Comfort, Console];[い];[なぐさ.める, なぐさ.む];43;[Consolation];[い];[なぐさ];[Flag, Jackhammer, Measurement, Heart];consoler, réconforter, distraire
賢;16;8.0;1159.0;2.0;2.0;[Intelligent, Wise, Wisdom, Cleverness];[けん];[かしこ.い];48;[Clever];[けん];[かしこ];[Servant, Stool, Shellfish];sage, intelligent, malin
序;7;5.0;1160.0;1.0;1.0;[Preface, Beginning, Order, Precedence, Occasion, Chance, Incidentally];[じょ];[つい.で, ついで];32;[Preface];[じょ];[つい, ついで];[Canopy, Beforehand];ordre, rang, début, préface
弟;7;2.0;1161.0;3.0;4.0;[Younger Brother, Faithful Service To Elders];[てい, だい, で];[おとうと];5;[Younger Brother, Little Brother];[だい, で, てい];[おとうと];[Horns, Bow, Stick, Slide];frère cadet
旬;6;8.0;1162.0;1.0;1.0;[Decameron, Ten-day Period, Season (for Specific Products)];[じゅん, しゅん];[];37;[In Season, Time Of Month, Season];[しゅん, じゅん];[];[Prison, Sun];décade, période de 10 jours saison (des produits)
腕;12;8.0;1163.0;2.0;2.0;[Arm, Ability, Talent];[わん];[うで];24;[Arm];[わん];[うで];[Moon, Roof, Evening, Snake];bras, force, talent, capacité
聖;13;6.0;1165.0;1.0;1.0;[Holy, Saint, Sage, Master, Priest];[せい, しょう];[ひじり];34;[Holy];[せい];[];[Ear, Mouth, King];saint, sacré
即;7;8.0;1167.0;1.0;1.0;[Instant, Namely, As Is, Conform, Agree, Adapt];[そく];[つ.く, つ.ける, すなわ.ち];43;[Instant];[そく];[すなわ];[Root, Stamp];immédiatement, conforme à
洗;9;6.0;1168.0;3.0;3.0;[Wash, Inquire Into, Probe];[せん];[あら.う];18;[Wash];[せん];[あら];[Tsunami, Previous];laver
柳;9;8.0;1169.0;1.0;1.0;[Willow];[りゅう];[やなぎ];47;[Willow];[りゅう];[やなぎ];[Tree, Stamp];saule
舎;8;5.0;1170.0;1.0;1.0;[Cottage, Inn, Hut, House, Mansion];[しゃ, せき];[やど.る];35;[Cottage];[しゃ];[];[Cottage];auberge, maison, cottage
偽;11;8.0;1171.0;1.0;1.0;[Falsehood, Lie, Deceive, Pretend, Counterfeit, Forgery];[ぎ, か];[いつわ.る, にせ, いつわ.り];41;[Fake];[ぎ];[にせ, いつわ];[Leader, Sake];dissimuler, tromper, mentir, duper, feindre imitation, contrefaçon
較;13;8.0;1172.0;2.0;1.0;[Contrast, Compare];[かく, こう];[くら.べる];26;[Contrast, Compare];[かく, こう];[];[Car, Mix];comparer, confrontation
覇;19;8.0;1173.0;1.0;1.0;[Hegemony, Supremacy, Leadership, Champion];[は, はく];[はたがしら];52;[Leadership];[は, はく];[はたがしら];[Helicopter, Leather, Moon];suprématie, domination, hégémonie
兆;6;4.0;1174.0;2.0;2.0;[Portent, 10**12, Trillion, Sign, Omen, Symptoms];[ちょう];[きざ.す, きざ.し];37;[Omen];[ちょう];[きざ];[Omen];indice, signe, symptôme donner signe
床;7;8.0;1175.0;2.0;2.0;[Bed, Counter For Beds, Floor, Padding, Tatami];[しょう];[とこ, ゆか];42;[Floor];[しょう];[ゆか, とこ];[Canopy, Tree];lit, plancher
畑;9;3.0;1176.0;2.0;;[Farm, Field, Garden, Ones Specialty, (kokuji)],;[];[はた, はたけ, -ばたけ];41;[Field];[];[はたけ, はた];[Fire, Rice Paddy];champ
慣;14;5.0;1177.0;2.0;3.0;[Accustomed, Get Used To, Become Experienced];[かん];[な.れる, な.らす];25;[Accustomed];[かん];[な];[Soul, Window, Shellfish];s'habituer habituer, exercer, apprivoiser
詳;13;8.0;1178.0;1.0;1.0;[Detailed, Full, Minute, Accurate, Well-informed];[しょう];[くわ.しい, つまび.らか];17;[Detailed];[しょう];[くわ];[Say, Sheep];détaillé, précis
毛;4;2.0;1179.0;2.0;2.0;[Fur, Hair, Feather, Down];[もう];[け];3;[Fur, Hair];[もう];[け];[Fur];poil, cheveux, plume
緑;14;3.0;1180.0;2.0;2.0;[Green];[りょく, ろく];[みどり];13;[Green];[りょく];[みどり];[Thread, Wolverine, Water];vert
尊;12;6.0;1181.0;2.0;2.0;[Revered, Valuable, Precious, Noble, Exalted];[そん];[たっと.い, とうと.い, たっと.ぶ, とうと.ぶ];33;[Revered];[そん];[とうと, たっと];[Horns, Alcohol, Measurement];respecter, vénérer précieux, de grande valeur
抵;8;8.0;1182.0;1.0;1.0;[Resist, Reach, Touch];[てい];[];37;[Resist];[てい];[];[Fingers, Clan, Ground];résister, aller contre
脅;10;8.0;1183.0;1.0;1.0;[Threaten, Coerce];[きょう];[おびや.かす, おど.す, おど.かす];48;[Threaten];[きょう];[おど, おびや];[Power, Moon];menacer, intimider, contraindre
祝;9;4.0;1184.0;2.0;2.0;[Celebrate, Congratulate];[しゅく, しゅう];[いわ.う];24;[Celebrate];[しゅく, しゅう];[いわ];[Spirit, Older Brother];fêter, célébrer
礼;5;3.0;1185.0;2.0;3.0;[Salute, Bow, Ceremony, Thanks, Remuneration];[れい, らい];[];4;[Thanks];[れい];[];[Spirit, Umbrella];politesse, salutation, courtoisie
窓;11;6.0;1186.0;2.0;3.0;[Window, Pane];[そう, す];[まど, てんまど, けむだし];33;[Window];[そう];[まど];[Hole, Private, Heart];fenêtre
柔;9;8.0;1187.0;2.0;2.0;[Tender, Weakness, Gentleness, Softness];[じゅう, にゅう];[やわ.らか, やわ.らかい, やわ, やわ.ら];43;[Gentle];[じゅう, にゅう];[やわ];[Spear, Tree];doux, mou, tendre, souple
茂;8;8.0;1188.0;1.0;1.0;[Overgrown, Grow Thick, Be Luxuriant];[も];[しげ.る];40;[Luxuriant];[も];[しげ];[Flowers, Slide, Drunkard];gagner en densité, s'épaissir
犠;17;8.0;1189.0;1.0;1.0;[Sacrifice];[ぎ, き];[いけにえ];40;[Sacrifice];[ぎ];[];[Cow, Righteousness];sacrifice
旗;14;4.0;1190.0;1.0;1.0;[National Flag, Banner, Standard];[き];[はた];30;[Flag];[き];[はた];[Direction, Gun, Crab];drapeau
距;12;8.0;1191.0;1.0;1.0;[Long-distance, Spur, Fetlock];[きょ];[へだ.たる, けづめ];43;[Distance];[きょ];[];[Foot, Giant];distance, séparation
雅;13;8.0;1192.0;1.0;1.0;[Gracious, Elegant, Graceful, Refined];[が];[みや.び];40;[Elegant];[が];[みや];[Fang, Turkey];grâce, élégance
飾;13;8.0;1193.0;1.0;1.0;[Decorate, Ornament, Adorn, Embellish];[しょく];[かざ.る, かざ.り];30;[Decorate];[しょく];[かざ];[Eat, Gun, Towel];décorer, parer, orner
網;14;8.0;1194.0;1.0;1.0;[Netting, Network];[もう];[あみ];42;[Netting];[もう];[あみ];[Thread, Hill];filet
竜;10;8.0;1195.0;1.0;1.0;[Dragon, Imperial];[りゅう, りょう, ろう];[たつ, いせ];44;[Dragon];[りゅう];[たつ];[Dragon];dragon
詩;13;3.0;1196.0;1.0;1.0;[Poem, Poetry];[し];[うた];13;[Poem];[し];[うた];[Say, Temple];poésie, poème
昔;8;3.0;1197.0;2.0;3.0;[Once Upon A Time, Antiquity, Old Times];[せき, しゃく];[むかし];11;[Long Ago, Long Time Ago];[];[むかし];[Blackjack, Sun];autrefois, jadis, antan
繁;16;8.0;1198.0;1.0;1.0;[Luxuriant, Thick, Overgrown, Frequency, Complexity, Trouble];[はん];[しげ.る, しげ.く];40;[Overgrown];[はん];[しげ];[Every, Winter, Thread];densité, épaisseur, luxuriance, fréquence
殿;13;8.0;1199.0;2.0;2.0;[Mr., Hall, Mansion, Palace, Temple, Lord];[でん, てん];[との, -どの];40;[Milord];[でん];[との, どの];[Flag, Together, Weapon];palais, Monsieur seigneur mr.
濃;16;8.0;1200.0;2.0;2.0;[Concentrated, Thick, Dark, Undiluted];[のう];[こ.い];27;[Thick];[のう];[こ];[Tsunami, Farming];sombre, épais, dense
翼;17;8.0;1201.0;1.0;1.0;[Wing, Plane, Flank];[よく];[つばさ];44;[Wing];[よく];[つばさ];[Feathers, Rice Paddy, Together];aile
牛;4;2.0;1202.0;3.0;4.0;[Cow];[ぎゅう];[うし];3;[Cow];[ぎゅう];[うし];[Cow];vache, boeuf, bovin
茨;9;8.0;1203.0;;;[Briar, Thorn];[し, じ];[いばら, かや, くさぶき];52;[Briar, Thorn];[し, じ];[いばら];[Flowers, Next];épine, ronce
潟;15;8.0;1204.0;1.0;1.0;[Lagoon];[せき];[かた, -がた];42;[Lagoon];[せき];[かた];[Tsunami, Sun, Wing];lagune, bras de mer
敵;15;5.0;1205.0;1.0;1.0;[Enemy, Foe, Opponent];[てき];[かたき, あだ, かな.う];21;[Enemy];[てき];[かな, かたき];[Mohawk, Winter];ennemi, concurrent, adversaire
魅;15;8.0;1206.0;1.0;1.0;[Fascination, Charm, Bewitch];[み];[];30;[Alluring];[み];[];[Demon, Jet];charme, enchantement, fascination
嫌;13;8.0;1207.0;1.0;1.0;[Dislike, Detest, Hate];[けん, げん];[きら.う, きら.い, いや];20;[Dislike];[けん, げん];[いや, きら];[Woman, Mona Lisa];détester, haïr désagréable, détestable, mauvais
魚;11;2.0;1208.0;4.0;4.0;[Fish];[ぎょ];[うお, さかな, -ざかな];7;[Fish];[ぎょ];[さかな];[Fish];poisson
斉;8;8.0;1209.0;1.0;1.0;[Adjusted, Alike, Equal, Similar Variety Of];[せい, さい];[そろ.う, ひと.しい, ひと.しく, あたる, はやい];43;[Simultaneous];[せい, さい];[];[Simultaneous];égal, équivalent, ensemble
液;11;5.0;1210.0;2.0;2.0;[Fluid, Liquid, Juice, Sap, Secretion];[えき];[];32;[Fluid, Liquid];[えき];[];[Tsunami, Night];liquide, fluide
貧;11;5.0;1211.0;2.0;3.0;[Poverty, Poor];[ひん, びん];[まず.しい];30;[Poor];[びん, ひん];[まず];[Part, Shellfish];pauvre
敷;15;8.0;1212.0;1.0;1.0;[Spread, Pave, Sit, Promulgate];[ふ];[し.く, -し.き];40;[Spread];[ふ];[しき, し];[Cross, Rice Paddy, Direction, Winter];étendre, recouvrir, installer
擁;16;8.0;1213.0;1.0;1.0;[Hug, Embrace, Possess, Protect, Lead];[よう];[];52;[Embrace];[よう];[];[Fingers, Lid, Poop, Turkey];étreindre, protéger, entourer
衣;6;4.0;1214.0;2.0;2.0;[Garment, Clothes, Dressing];[い, え];[ころも, きぬ, -ぎ];41;[Clothes];[い, え];[ころも];[Clothes];habit, vêtement
肩;8;8.0;1215.0;2.0;2.0;[Shoulder];[けん];[かた];24;[Shoulder];[けん];[かた];[Door, Moon];épaule
圏;12;8.0;1216.0;1.0;1.0;[Sphere, Circle, Radius, Range];[けん];[かこ.い];39;[Range, Sphere];[けん];[];[Mouth, Scroll];région, cercle, sphère
零;13;8.0;1217.0;2.0;2.0;[Zero, Spill, Overflow, Nothing, Cipher];[れい];[ぜろ, こぼ.す, こぼ.れる];46;[Zero, Spill];[れい];[こぼ];[Rain, Orders];zéro
酸;14;5.0;1218.0;1.0;1.0;[Acid, Bitterness, Sour, Tart];[さん];[す.い];32;[Acid];[さん];[す];[Alcohol, Spider];acide, aigre
兄;5;2.0;1219.0;3.0;4.0;[Elder Brother, Big Brother];[けい, きょう];[あに];5;[Older Brother, Big Brother, Elder Brother];[きょう];[あに];[Mouth, Legs];frère aîné
罰;14;8.0;1220.0;1.0;1.0;[Penalty, Punishment];[ばつ, ばち, はつ];[ばっ.する];22;[Penalty, Punishment];[ばつ];[ばっ];[Net, Say, Knife];peine, punition, châtiment
怒;9;8.0;1221.0;2.0;3.0;[Angry, Be Offended];[ど, ぬ];[いか.る, おこ.る];27;[Angry, Anger];[ど];[おこ, いか];[Woman, Stool, Heart];se mettre en colère, se fâcher
滅;13;8.0;1222.0;1.0;1.0;[Destroy, Ruin, Overthrow, Perish];[めつ];[ほろ.びる, ほろ.ぶ, ほろ.ぼす];43;[Destroy];[めつ];[ほろ];[Tsunami, Slide, Drunkard, Ground, Fire];tomber en ruine, périr renverser, détruire, anéantir
